Wall time,Step,Value
1735826758.3216178,20718,-2297.161376953125
1735826761.2300925,20775,-2197.1708984375
1735826764.0342495,20830,-2197.2099609375
1735826766.8780458,20886,-2397.2138671875
1735826770.0648003,20946,-2297.223876953125
1735826772.8721933,21000,-2297.23046875
1735826775.8525386,21058,-2197.2353515625
1735826778.5941303,21112,-2297.25146484375
1735826781.1516562,21164,-2497.234130859375
1735826783.6227195,21213,-2497.223876953125
1735826785.858358,21258,-2597.226318359375
1735826788.9097614,21312,-2597.218017578125
1735826791.7556462,21365,-2797.194091796875
1735826794.8624756,21424,-2697.181396484375
1735826797.5033972,21475,-2897.17578125
1735826800.442106,21530,-2897.188720703125
1735826803.5984726,21589,-2797.189208984375
1735826806.7868292,21646,-2897.193115234375
1735826809.6476753,21699,-3097.190185546875
1735826812.553283,21756,-3097.191162109375
1735826815.6992202,21816,-2997.208740234375
1735826818.7760582,21875,-2797.217041015625
1735826821.874866,21930,-2797.225341796875
1735826824.6886215,21982,-2997.21533203125
1735826827.525669,22037,-3097.21337890625
1735826830.5189006,22094,-3097.204345703125
1735826833.6641562,22154,-2997.209228515625
1735826836.7892504,22213,-3097.1787109375
1735826839.92859,22270,-2997.184814453125
1735826843.093837,22330,-2997.194091796875
1735826846.0747986,22389,-2997.1787109375
1735826849.175277,22449,-2897.179443359375
1735826851.7783942,22500,-2997.180419921875
1735826854.617922,22554,-2797.194580078125
1735826858.0016603,22613,-2697.221435546875
1735826861.1829576,22672,-2497.263427734375
1735826864.2261512,22730,-2397.2783203125
1735826866.9538112,22783,-2297.282958984375
1735826869.8699212,22839,-2397.29052734375
1735826872.9779058,22899,-2197.299560546875
1735826876.333777,22959,-2097.296630859375
1735826879.202896,23013,-2197.282958984375
1735826881.9818263,23061,-2397.287841796875
1735826885.2064092,23119,-2297.325439453125
1735826887.942614,23172,-2397.333984375
1735826891.1220088,23230,-2497.326171875
1735826894.280641,23287,-2597.32958984375
1735826897.4724352,23347,-2497.33935546875
1735826900.3020444,23401,-2397.336669921875
1735826903.6193862,23461,-2297.34765625
1735826906.7202702,23520,-2197.34130859375
1735826909.67565,23573,-2297.32080078125
1735826912.9925923,23632,-2097.322509765625
1735826916.1737466,23693,-2097.3564453125
1735826919.2236154,23751,-2097.341064453125
1735826921.9956644,23805,-2097.347412109375
1735826925.2524297,23859,-2197.361083984375
